 Penicillin concentration,reindexed_id,Agitator Power,Substrate Feed Flowrate,Dissolved oxygen volume fraction,Culture Volume,Carbon Dioxide Concentration,ph,Fermentor Temperature,Generated Heat,Cooling water flow rate
0.0,0.0,0.0,0.0,1.0,1.0,0.08969798170466103,1.0,0.0,0.0,0.0
0.03307771546297356,0.0,0.0,0.0,0.8188405797101552,0.9705882352941444,0.7144983301873091,0.9443561208266971,0.24066193853427897,0.01691375028363885,0.0
0.06718553279157605,0.0,0.0,0.0,0.8188405797101552,0.941176470588232,0.23322927254247117,0.8696343402225608,0.5182033096926713,0.038439120429336865,0.0
0.10266681927435048,0.0,0.0,0.0,1.0,0.9117647058823195,0.0,0.7774244833068309,0.7787234042553184,0.06610979905656802,0.0
0.14043722101407807,0.0,0.0,0.0,0.7463768115942173,0.8529411764705515,0.191120952519239,0.6677265500794789,1.0,0.10125463116875517,0.0
0.2274236007782992,0.0,0.0,0.0,0.5072463768115938,0.7058823529411598,0.5781181936982722,0.4372019077901399,0.9867612293144195,0.18766793458628547,0.0
0.2754950211743162,0.0,0.0,0.0,0.6014492753623273,0.6176470588235361,0.38906635690431224,0.34181240063591645,0.987234042553192,0.23764114180886992,0.0
0.3292892297127161,0.0,0.0,0.0,0.5869565217391255,0.558823529411768,0.4274720487875707,0.26073131955483575,0.987234042553192,0.29280979718563105,0.0
0.38766166876502234,0.0,0.0,0.0,0.39130434782609314,0.5,0.5152461158704804,0.19872813990458837,0.987234042553192,0.3537207899959559,0.0
0.4517568959597116,0.0,0.0,0.0,0.5869565217391255,0.4117647058823195,0.06439668941483934,0.14785373608901864,0.9877068557919628,0.4209785768117987,0.0
0.5227194689252603,0.0,0.0,0.0,0.7971014492753739,0.35294117647055145,0.27232466966748947,0.10969793322733778,0.9881796690307336,0.49523078967453865,0.0
0.6005493876616688,0.0,0.0,0.0,0.5217391304347814,0.2647058823529278,0.010926383040511078,0.07790143084258716,0.9881796690307336,0.5772641815825922,0.0
0.6852466521689368,0.0,0.0,0.0,0.5072463768115938,0.20588235294115975,0.3333454334252939,0.05405405405403485,0.9886524822695044,0.6677887491442863,0.0
0.7802449353324941,0.0,0.0,0.0,0.0,0.1176470588235361,0.6612458254682736,0.033386327503961866,0.9891252955082734,0.7677639472357387,0.0
0.884399679523864,0.0,0.0,0.0,0.15942028985509182,0.05882352941176805,0.6300638884855527,0.015898251192353996,0.9895981087470442,0.8781492307330668,0.0
1.0000000000000002,0.0,0.0,0.0,0.07971014492754591,0.0,0.9999999999999998,0.0,0.9905437352245876,1.0000000000000002,0.0
